amie,LAT,LON,x,y
09H00928,-2.0703936,-79.932281,618740.0088,9771118.351
09H00929,-2.1063285,-79.930008,618990.052,9767145.522
09H00947,-2.1272268,-79.954651,616248.232,9764837.078
09H00958,-2.129457,-79.921951,619884.7881,9764588.02
09H00971,-2.1000011,-79.962875,615335.66,9767847.48
09H00984,-2.1017864,-79.924561,619596.821,9767647.244
09H00991,-2.1220107,-79.962677,615356.041,9765414.31
09H00997,-2.1567049,-79.926895,619332.8148,9761576.108
09H01008,-2.0787256,-79.912254,620966.7104,9770195.669
09H01013,-2.1269879,-79.917076,620427.6147,9764860.591
09H01030,-2.1349273,-79.912514,620933.821,9763982.542
09H01032,-2.117799,-79.923935,619664.6942,9765876.979
09H01038,-2.1003892,-79.92144,619943.694,9767801.456
09H01056,-2.0999653,-79.968147,614748.5,9767851.82
09H01088,-2.1156459,-79.917618,620367.3213,9766114.508
09H01106,-2.151993,-79.921883,619890.9332,9762096.632
09H01114,-2.1191728,-79.912926,620889.5577,9765724.227
09H01129,-2.1871421,-79.927483,619264.8098,9758211.311
09H01130,-2.1246641,-79.924225,619632.5805,9765118.068
09H01137,-2.1743548,-79.930107,618974.1002,9759625.135
09H01141,-2.1469309,-79.930351,618948.8755,9762656.904
09H01182,-2.0879295,-79.993454,611935.4461,9769184.222
09H01206,-2.1266704,-79.916962,620439.5617,9764895.673
09H01214,-2.1600564,-79.935333,618394.07,9761206.27
09H01229,-2.1262951,-79.952919,616441.2252,9764939.959
09H01262,-2.1500754,-79.937462,618157.8205,9762309.844
09H01264,-2.1455672,-79.923904,619666.1085,9762807.193
09H01265,-2.1492689,-79.930878,618890.4979,9762398.499
09H01271,-2.1169014,-79.978203,613629.334,9765980.269
09H01272,-2.1462228,-79.938797,618009.9274,9762735.828
09H01275,-2.1442652,-79.929878,619001.7883,9762951.594
09H01294,-2.1458325,-79.929367,619058.7315,9762778.212
09H01303,-2.1168568,-79.911728,621022.9784,9765980.171
09H01313,-2.1152952,-79.920227,620077.1766,9766153.513
09H01324,-2.1227555,-79.891823,623235.944,9765326.523
09H01327,-2.1254811,-79.913452,620830.2328,9765026.909
09H01334,-2.1441317,-79.929977,618991.0659,9762966.325
09H01344,-2.1291761,-79.903015,621990.967,9764617.6
09H01353,-2.1572499,-79.939392,617942.795,9761516.832
09H01358,-2.0898681,-79.959297,615734.046,9768967.443
09H01366,-2.1618297,-79.912384,620945.496,9761008.405
09H01376,-2.1199281,-79.957062,615980.0636,9765644.131
09H01378,-2.1387219,-79.945602,617253.2251,9763565.59
09H01383,-2.1334078,-79.943687,617466.9429,9764152.909
09H01384,-2.1366799,-79.9375,618154.684,9763790.713
09H01392,-2.135705,-79.944145,617415.7198,9763899.009
09H01401,-2.1509509,-79.936226,618295.3902,9762212.945
09H01407,-2.1352479,-79.940727,617796.4511,9763949.269
09H01423,-2.1148503,-79.96965,614580.988,9766206.413
09H01438,-2.143362,-79.920944,619995.6026,9763050.723
09H01452,-2.1414652,-79.892998,623104.016,9763258.207
09H01453,-2.1337669,-79.889519,623491.463,9764108.983
09H01465,-2.1243458,-79.939323,617952.7622,9765154.384
09H01470,-2.1711817,-79.892838,623119.424,9759972.974
09H01471,-2.1414652,-79.892998,623104.016,9763258.207
09H01479,-2.099504,-79.954628,616253.257,9767901.825
09H01487,-2.1307235,-79.880325,624513.765,9764444.718
09H01520,-2.122611,-79.892197,623194.7126,9765342.503
09H01521,-2.1024277,-79.952347,616506.01,9767578.434
09H01554,-2.1533556,-79.887344,623731.038,9761943.23
09H01558,-2.0967226,-79.921974,619884.691,9768206.878
09H01568,-2.1282458,-79.941475,617712.7916,9764723.402
09H01574,-2.086472,-79.927559,619264.6198,9769340.465
09H01577,-2.1501827,-79.895988,622770.9779,9762294.715
09H01597,-2.1723278,-79.885132,623975.596,9759845.644
09H01602,-2.1879771,-79.901756,622126.0683,9758116.931
09H01610,-2.0869136,-79.914894,620672.905,9769290.723
09H01668,-2.1242819,-79.935715,618354.9321,9765161.183
09H01681,-2.1272163,-79.897354,622620.888,9764833.82
09H01687,-2.1845107,-79.888969,623548.125,9758499.099
09H01688,-2.0870237,-79.936165,618307.061,9769280.145
09H01694,-2.0965869,-79.909149,621310.712,9768220.862
09H01697,-2.1292808,-79.926704,619356.0613,9764607.876
09H01700,-2.0937874,-79.923706,619692.748,9768531.492
09H01705,-2.0868213,-79.894562,622934.5836,9769299.332
09H01710,-2.1840005,-79.893661,623026.22,9758555.88
09H01713,-2.1281304,-79.889824,623457.812,9764732.105
09H01717,-2.1288061,-79.923988,619658.1753,9764660.147
09H01739,-2.1281304,-79.889824,623457.812,9764732.105
09H01745,-2.1211338,-79.919182,620193.1733,9765507.923
09H01753,-2.1371334,-79.888512,623603.288,9763736.77
09H01756,-2.1245666,-79.88604,623878.599,9765125.836
09H01789,-2.1245608,-79.88604,623879.484,9765126.441
09H01792,-2.0856111,-79.965767,615015.236,9769438.518
09H01795,-2.0897353,-79.967453,614827.149,9768982.706
09H01798,-2.096184,-79.961174,615524.746,9768269.337
09H01802,-2.125375,-79.934669,618471.0719,9765040.271
09H01806,-2.1122632,-79.932007,618768.214,9766489.577
09H01839,-2.154129,-79.922516,619819.6989,9761860.544
09H01841,-2.1238368,-79.968712,614684.3414,9765212.909
09H01847,-2.1528039,-79.914207,620744.6817,9762006.369
09H01868,-2.0818887,-79.927277,619295.8597,9769847.135
09H01882,-2.1142211,-79.926567,619372.2392,9766272.734
09H01913,-2.1527479,-79.936241,618294.2508,9762014.287
09H01917,-2.195389,-79.908195,621409.421,9757298.056
09H01920,-2.1957319,-79.900726,622239.889,9757259.51
09H01922,-2.1949456,-79.901985,622099.82,9757346.55
09H01924,-2.194916,-79.903999,621875.975,9757349.966
09H01925,-2.1880994,-79.897507,622599.284,9758103.064
09H01927,-2.1910794,-79.90448,621823.4895,9757774.168
09H01942,-2.1879301,-79.898018,622541.711,9758121.833
09H01948,-2.0931699,-79.954437,616273.8911,9768602.027
09H01950,-2.1931109,-79.902916,621996.5694,9757549.439
09H02005,-2.2182827,-79.896469,622711.278,9754766.156
09H02013,-2.2672999,-79.882172,624298.0437,9749345.96
09H02018,-2.226711,-79.918541,620256.321,9753836.178
09H02032,-2.2205229,-79.899338,622392.7672,9754518.721
09H02036,-2.2498493,-79.92469,619570.642,9751278.712
09H02056,-2.2420292,-79.917213,620402.2587,9752142.632
09H02067,-2.2141199,-79.891808,623230.7,9755225.97
09H02076,-2.2422411,-79.926872,619328,9752120
09H02083,-2.2725923,-79.878532,624702.259,9748760.56
09H02092,-2.2477508,-79.885811,623894.668,9751507.462
09H02105,-2.2491012,-79.890015,623426.336,9751358.539
09H02125,-2.2370577,-79.912086,620973.122,9752691.818
09H02129,-2.2357779,-79.915535,620589.487,9752833.575
09H02134,-2.0481424,-79.949379,616840.239,9773579.475
09H02142,-2.2719469,-79.888039,623644.801,9748832.703
09H02148,-2.2453194,-79.91935,620165.37,9751779.073
09H02158,-2.2400994,-79.925812,619446.067,9752356.692
09H02160,-2.2156191,-79.932976,618651.8101,9755063.591
09H02166,-2.233326,-79.906601,621583.651,9753103.944
09H02173,-2.2401304,-79.928665,619129.301,9752353.484
09H02180,-2.2651691,-79.892853,623109.901,9749582.424
09H02183,-2.2712746,-79.87606,624976.771,9748906.027
09H02191,-2.1943152,-79.93161,618806.0504,9757418.631
09H02207,-2.2431564,-79.914497,620704.69,9752017.82
09H02209,-2.2118006,-79.887405,623719.933,9755482.019
09H02239,-2.2339082,-79.929161,619074.739,9753041.391
09H02243,-2.2472978,-79.903252,621955.352,9751559.025
09H02252,-2.1845107,-79.888969,623548.125,9758499.099
09H02254,-2.2349358,-79.902527,622037.0639,9752925.641
09H02258,-2.1279905,-80.00071,611125.782,9764756.066
09H02259,-2.267967,-79.881844,624333.877,9749272.173
09H02267,-2.2787435,-79.883621,624135.977,9748080.988
09H02283,-2.2766376,-79.889816,623445.865,9748314.296
09H02290,-2.2748294,-79.881531,624368.383,9748513.477
09H02295,-2.2714758,-79.891823,623223.866,9748885.115
09H02297,-2.2766016,-79.890945,623321.153,9748318.382
09H02325,-2.2851698,-79.887939,623654.448,9747370.905
09H02334,-2.2611268,-79.888496,623594.971,9750028.943
09H02336,-2.2760682,-79.882881,624217.72,9748376.64
09H02351,-2.2604005,-79.891464,623264.436,9750109.479
09H02359,-2.2524586,-79.885162,623966.487,9750986.963
09H02360,-2.2405052,-79.892715,623127.239,9752309.065
09H02363,-2.2194743,-79.888481,623600.098,9754633.744
09H02378,-2.2562163,-79.873726,625237.589,9750570.585
09H02391,-2.2513368,-79.885109,623972.568,9751110.94
09H02396,-2.1180892,-79.968948,614658.8648,9765848.319
09H02401,-2.2669976,-79.877007,624871.954,9749378.901
09H02404,-2.2664864,-79.889824,623446.247,9749436.543
09H02406,-2.244858,-79.893684,623018.545,9751827.957
09H02408,-2.2575529,-79.87854,624702.05,9750423.221
09H02419,-2.2642272,-79.883324,624169.266,9749685.779
09H02420,-2.2703476,-79.883247,624177.627,9749009.122
09H02423,-2.2637465,-79.894447,622933.21,9749739.807
09H02425,-2.2279491,-79.913956,620765.778,9753698.924
09H02429,-2.2818601,-79.884407,624048.1,9747736.492
09H02443,-2.2321169,-79.919228,620179.193,9753238.62
09H02449,-2.2781904,-79.875793,625006.505,9748141.426
09H02451,-2.2823167,-79.885025,623978.63,9747686.055
09H02453,-2.2383885,-79.920341,620054.889,9752545.349
09H02459,-2.2782378,-79.878502,624704.841,9748136.4
09H02468,-2.2579963,-79.90596,621652.825,9750376.479
09H02473,-2.2492955,-79.907089,621527.92,9751338.5
09H02474,-2.2590199,-79.90242,622046.233,9750263.065
09H02480,-2.2552643,-79.882416,624271.165,9750676.524
09H02488,-2.252821,-79.900612,622248.051,9750948.215
09H02503,-2.2600162,-79.877769,624787.61,9750150.82
09H02510,-2.2195292,-79.897285,622620.382,9754628.404
09H02511,-2.2492518,-79.907532,621479.126,9751343.347
09H02514,-2.2409854,-79.905396,621717.121,9752257.052
09H02520,-2.253684,-79.87532,625060.431,9750850.658
09H02526,-2.256902,-79.898109,622525.953,9750496.83
09H02562,-2.2365763,-79.905952,621655.605,9752744.523
09H02566,-2.2283754,-79.903069,621976.523,9753650.896
09H02576,-2.2395041,-79.917931,620322.558,9752421.862
09H02586,-2.2411642,-79.919212,620180.268,9752238.43
09H02617,-2.2359545,-79.920494,620038.615,9752814.44
09H02621,-2.2309737,-79.904221,621848.68,9753363.75
09H02628,-2.6325471,-80.327446,574761.6444,9709002.223
09H02636,-2.2172546,-80.081299,602157.168,9754893.831
09H02639,-2.1920333,-80.025215,608395.263,9757678.005
09H02647,-2.2837439,-80.188866,590190.7424,9747550.887
09H02648,-2.4803815,-80.220009,586715.0985,9725816.049
09H02649,-2.1907709,-80.053436,605257.043,9757819.56
09H02659,-2.3382266,-80.15564,593882.0124,9741526.065
09H02660,-2.206759,-80.070404,603369.126,9756053.334
09H02666,-2.1937778,-80.005142,610628.1195,9757483.683
09H02669,-2.2348456,-80.078705,602444.62,9752949.07
09H02676,-2.3977702,-80.214516,587331.7648,9734947.754
09H02681,-2.3643725,-79.856216,627175.7593,9738611.942
09H02685,-2.4944558,-80.198204,589138.5044,9724258.777
09H02690,-2.4110019,-80.36557,570535.9264,9733493.89
09H02691,-2.4580009,-80.285431,579443.0944,9728294.127
09H02694,-2.3477299,-80.264771,581746.8154,9740482.357
09H02695,-2.3479135,-80.278244,580248.1544,9740462.857
09H02696,-2.4074669,-80.365685,570522.6912,9733884.63
09H02697,-2.3908775,-80.376793,569288.8954,9735718.937
09H02698,-2.351217,-80.353012,571935.0212,9740101.771
09H02699,-2.4055219,-80.364029,570707.3804,9734099.497
09H02701,-2.4911039,-80.3386,573530.3817,9724637.998
09H02703,-2.6116915,-80.304665,577295.5164,9711306.251
09H02704,-2.5927012,-80.352051,572028.1454,9713408.208
09H02705,-2.5486488,-80.333481,574095.7944,9718276.731
09H02712,-2.0104833,-79.96106,615543.695,9777743.524
09H02713,-2.0400445,-79.982506,613156.388,9774477.07
09H02718,-2.0784447,-79.928024,619212.336,9770227.939
09H02719,-2.0697169,-79.931465,618830.9125,9771193.076
09H02725,-2.0734317,-79.929054,619099.353,9770782.209
09H02759,-2.0451024,-79.942467,617608.988,9773915.051
09H02760,-1.9930629,-79.978653,613587.827,9779670.569
09H02761,-2.0697997,-79.947731,617021.722,9771185.136
09H02764,-2.0248058,-79.951157,616644.2103,9776159.481
09H02766,-2.2039332,-79.909248,621291.3536,9756353.553
09H02782,-2.0706723,-79.934029,618546.161,9771087.671
09H02793,-2.7098284,-80.243736,584062.4224,9700454.069
09H02794,-2.7103338,-80.249229,583451.6964,9700398.554
09H02795,-2.7172844,-80.246803,583720.6794,9699630.077
09H02797,-2.7181263,-80.301155,577679.2254,9699540.642
09H02804,-2.7099299,-80.245697,583844.1574,9700442.976
09H02810,-2.3278129,-79.921669,619899.8083,9742659.466
09H02813,-2.7972503,-80.233139,585233.639,9690789.488
09H02814,-2.7684901,-79.910553,621095.513,9693940.658
09H02815,-2.5496702,-79.958801,615752.3631,9718136.195
09H02816,-2.8206067,-80.135399,596096.52,9688200.046
09H02817,-2.7382882,-79.907974,621384.901,9697279.279
09H02818,-2.6276636,-79.881264,624365.3175,9709506.509
09H02822,-2.4739549,-79.907364,621477.338,9726501.948
09H02823,-2.7763314,-79.912537,620873.239,9693073.954
09H02826,-2.7398126,-79.908112,621368.964,9697110.798
09H02827,-2.7364428,-79.911507,620992.277,9697483.674
09H02830,-2.9527946,-80.134331,596203.975,9673587.155
09H02833,-3.03685,-79.763321,637430.491,9664255.098
09H02834,-3.0055258,-79.741508,639858.235,9667715.483
09H02835,-2.9958377,-79.790848,634375.241,9668792.787
09H02838,-3.0123587,-79.782471,635304.982,9666965.215
09H02840,-2.9701607,-79.773041,636357.804,9671629.396
09H02841,-2.997117,-79.846283,628214.2487,9668658.006
09H02842,-2.99383,-79.792793,634159.73,9669014.958
09H02844,-2.9961848,-79.789185,634560.74,9668754.221
09H03338,-1.9085191,-79.833221,629771.37,9789006.51
09H03454,-2.1705563,-79.843521,628604,9760038
09H03458,-2.1574352,-79.832184,629865.8263,9761487.648
09H03459,-2.1563668,-79.825287,630633.4365,9761605.159
09H03467,-2.2668667,-79.826981,630435,9749389
09H03495,-2.1607678,-79.835953,629447.1392,9761119.5
09H03496,-2.1573219,-79.842026,628771,9761501
09H03498,-2.1564293,-79.82225,630971,9761598
09H03499,-2.15926,-79.82193,631007,9761285
09H03512,-2.1740642,-79.806717,632697,9759647
09H03514,-2.1786072,-79.856308,627181,9759149
09H03517,-2.1812201,-79.853645,627476.78,9758859.94
09H03518,-2.1855199,-79.854767,627351.86,9758384.65
09H03530,-2.1568232,-79.832634,629816.0746,9761555.309
09H03537,-2.160377,-79.836929,629338.3664,9761162.802
09H03538,-2.1689219,-79.835152,629535.2801,9760217.976
09H03545,-2.1793704,-79.813782,631911,9759061
09H03551,-2.1730297,-79.81369,631922,9759762
09H03554,-2.1603329,-79.825851,630570.2422,9761166.752
09H03574,-2.1607175,-79.794556,634050.2209,9761121.462
09H03576,-2.1697168,-79.799576,633492,9760127
09H03581,-2.1605091,-79.78862,634711,9761144
09H03590,-2.1686871,-79.801392,633290,9760241
09H03597,-2.1703284,-79.852982,627551.6919,9760063.963
09H03601,-2.148469,-79.835144,629537.8645,9762479.116
09H03605,-2.1712024,-79.802223,633197,9759963
09H03609,-2.1666999,-79.793419,634177,9760460
09H03611,-2.1535316,-79.841774,628800,9761920
09H03624,-2.1542306,-79.82605,630548.4216,9761841.389
09H03629,-2.1588619,-79.807396,632623.48,9761327.76
09H03631,-2.178791,-79.848015,628104,9759128
09H03637,-2.0956786,-79.83474,629586.7083,9768315.324
09H03645,-2.1666279,-79.816849,631571,9760470
09H03672,-2.1814849,-79.846207,628304,9758830
09H03687,-2.1865289,-79.841385,628840,9758272
09H03690,-2.3103216,-79.734413,640726,9744576
09H03697,-2.1690938,-79.824806,630686.3732,9760198.081
09H03706,-2.1774662,-79.842407,628728,9759274
09H03708,-2.1688375,-79.846397,628284.4014,9760228.248
09H03730,-2.1718209,-79.819595,631264.9965,9759896.141
09H04435,-2.2160017,-79.944862,617329.832,9755022.225
09H04585,-2.2462015,-79.88356,624145.235,9751678.568
09H04613,-1.912573,-79.668518,648092,9788545
09H04614,-1.9568473,-79.715073,642910,9783654
09H04620,-1.9702333,-79.679901,646821,9782171
09H04625,-1.9587742,-79.715256,642889,9783441
09H04626,-1.9192894,-79.686958,646040,9787804
09H04627,-1.9168941,-79.774117,636345,9788076
09H04629,-1.8895037,-79.771332,636657,9791104
09H04631,-1.9637289,-79.724586,641851,9782894
09H04636,-1.9563875,-79.729164,641342,9783706
09H04637,-1.964468,-79.686577,646079,9782809
09H04640,-1.9162474,-79.671402,647771,9788139
09H04642,-1.9295421,-79.778053,635906,9786678
09H04644,-1.9598227,-79.72628,641663,9783326
09H04645,-1.9210598,-79.661079,648919,9787606
09H04646,-1.9506686,-79.71373,643059,9784337
09H04647,-1.9692054,-79.71846,642532,9782288
09H04649,-1.9631152,-79.726601,641627,9782962
09H04651,-2.0845301,-79.812813,632027,9769546
09H04652,-1.9667993,-79.815651,631721,9782562
09H04653,-1.91469,-79.66951,647981,9788311
09H04654,-1.9632056,-79.726311,641659,9782952
09H04655,-2.0390165,-79.840218,628982,9774580
09H04665,-1.9772106,-79.754898,638478,9781406
09H04669,-2.0482602,-79.864388,626294,9773560
09H04670,-1.9790872,-79.772316,636540,9781200
09H04671,-2.0630827,-79.873177,625315,9771922
09H04676,-2.06582,-79.628433,652537,9771598
09H04681,-2.0225134,-79.809235,632430,9776402
09H04683,-2.0400114,-79.840034,629003,9774470
09H04685,-1.9241798,-79.68338,646438,9787263
09H04686,-2.0761886,-79.83429,629639,9770470
09H04687,-1.9492627,-79.805916,632805,9784500
09H04688,-1.9853888,-79.780586,635620,9780504
09H04689,-1.9672151,-79.790367,634533,9782514
09H04693,-1.9539129,-79.80719,632663,9783986
09H04694,-1.9369782,-79.706467,643868,9785850
09H04698,-1.9919393,-79.807442,632632,9779782
09H04699,-1.9651419,-79.77523,636217,9782742
09H04708,-2.0255508,-79.759079,638009,9776062
09H04709,-1.9663718,-79.799599,633506,9782608
09H04711,-2.0241561,-79.804077,633004,9776220
09H04712,-1.9849243,-79.813347,631975,9780558
09H04713,-1.9806193,-79.789131,634670,9781032
09H04714,-2.0541022,-79.812912,632018,9772910
09H04715,-1.9902617,-79.839355,629082,9779970
09H04716,-1.9328929,-79.808823,632483,9786310
09H04719,-1.9248446,-79.811539,632181,9787200
09H04724,-1.9799783,-79.754654,638504,9781100
09H04868,-1.9558259,-79.776337,636095,9783772
09H04964,-2.0274818,-79.712082,643235.57,9775844.49
09H05046,-2.2872756,-79.715202,642865.09,9747122.05
09H05047,-2.284513,-79.69529,645079.75,9747425.48
09H05064,-2.3339112,-80.268982,581279.1834,9742010.139
09H05226,-2.2441216,-79.928436,619154.22,9751912.216
09H05246,-2.1223888,-79.950806,616676.0654,9765371.615
09H05262,-2.009805,-79.749283,639100,9777802
09H05325,-2.0365303,-79.82917,630212,9774854
09H05394,-2.6000381,-79.857117,627052.306,9712558.212
09H05452,-2.1483021,-79.825493,630610.9065,9762496.793
09H05461,-2.108804,-79.974213,614073.9271,9766875.162
09H05478,-2.1524346,-79.815231,631752,9762039
09H05493,-2.2247195,-79.872185,625412.0355,9754052.469
09H05495,-2.1640098,-79.813171,631980.38,9760759.11
09H05500,-2.0671625,-79.909683,621253.9011,9771473.808
09H05513,-2.1034894,-79.973358,614168.765,9767462.617
09H05523,-2.2615273,-79.874725,625126.21,9749983.51
09H05525,-2.1631851,-79.904099,621866.941,9760857.897
09H05530,-2.182832,-79.892174,623192.02,9758684.93
09H05605,-2.1144717,-79.975471,613933.3675,9766248.695
09H05621,-2.0964499,-79.972099,614310.3393,9768240.743
09H05623,-2.5144973,-79.883156,624166.13,9722017.64
09H05682,-2.74598,-79.904816,621734.9306,9696428.62
09H05712,-2.1254134,-79.993027,611980.5304,9765040.386
09H05713,-2.1234093,-80.016556,609363.8847,9765263.613
09H05714,-2.0967829,-79.967468,614824.7383,9768203.562
09H05745,-2.130841,-79.961105,615529.5273,9764438.019
09H05761,-2.5531709,-79.82531,630594.0097,9717736.391
09H05788,-2.1565681,-79.917458,620382.8198,9761590.51
09H05793,-2.1319628,-79.95858,615810.8792,9764313.796
09H05803,-2.5865026,-79.924767,619532.2699,9714061.15
09H05807,-2.1173611,-79.997917,611436.8671,9765930.902
09H05808,-2.1167152,-80.00267,610908.18,9766002.65
09H05821,-2.7089946,-80.095291,600563.615,9700534.929
09H05882,-2.0929537,-79.928513,619158,9768624
09H05885,-2.1454811,-79.829521,630163,9762809
09H05897,-2.6511385,-79.858719,626869.136,9706908.958
09H05912,-2.2294953,-79.733795,640802,9753512
09H05928,-2.1301157,-79.952789,616455.0351,9764517.555
